tas,"	Year", Month, Country
14.0951,1984,5,ALB
17.0738,1984,6,ALB
19.9986,1984,7,ALB
19.0888,1984,8,ALB
16.0542,1984,9,ALB
13.6968,1984,10,ALB
8.11974,1984,11,ALB
3.33855,1984,12,ALB
0.24685,1985,1,ALB
0.18776,1985,2,ALB
5.78044,1985,3,ALB
10.864,1985,4,ALB
15.8932,1985,5,ALB
17.4893,1985,6,ALB
21.3747,1985,7,ALB
21.4647,1985,8,ALB
18.1064,1985,9,ALB
12.1499,1985,10,ALB
8.48735,1985,11,ALB
4.66428,1985,12,ALB
2.64349,1986,1,ALB
2.98883,1986,2,ALB
6.8604,1986,3,ALB
11.0283,1986,4,ALB
16.2843,1986,5,ALB
18.0441,1986,6,ALB
19.5107,1986,7,ALB
22.1418,1986,8,ALB
18.405,1986,9,ALB
12.9215,1986,10,ALB
7.48496,1986,11,ALB
1.08337,1986,12,ALB
1.85407,1987,1,ALB
4.08288,1987,2,ALB
2.19154,1987,3,ALB
9.89571,1987,4,ALB
12.823,1987,5,ALB
17.903,1987,6,ALB
21.0951,1987,7,ALB
20.5374,1987,8,ALB
20.9816,1987,9,ALB
13.1201,1987,10,ALB
8.81221,1987,11,ALB
4.77826,1987,12,ALB
4.65982,1988,1,ALB
3.70371,1988,2,ALB
5.46939,1988,3,ALB
10.0391,1988,4,ALB
15.1103,1988,5,ALB
18.1127,1988,6,ALB
23.9062,1988,7,ALB
23.1016,1988,8,ALB
17.3264,1988,9,ALB
12.3386,1988,10,ALB
5.46128,1988,11,ALB
2.76187,1988,12,ALB
1.55399,1989,1,ALB
4.24872,1989,2,ALB
8.78254,1989,3,ALB
10.8264,1989,4,ALB
13.5534,1989,5,ALB
16.2547,1989,6,ALB
20.7501,1989,7,ALB
20.7685,1989,8,ALB
17.1172,1989,9,ALB
11.1689,1989,10,ALB
6.93113,1989,11,ALB
3.63821,1989,12,ALB
0.55836,1990,1,ALB
5.36912,1990,2,ALB
8.53396,1990,3,ALB
10.2884,1990,4,ALB
15.0538,1990,5,ALB
18.2281,1990,6,ALB
21.9834,1990,7,ALB
21.3602,1990,8,ALB
16.5456,1990,9,ALB
13.8929,1990,10,ALB
9.04893,1990,11,ALB
2.87202,1990,12,ALB
1.26417,1991,1,ALB
2.02807,1991,2,ALB
8.11757,1991,3,ALB
8.98425,1991,4,ALB
11.5024,1991,5,ALB
18.8599,1991,6,ALB
20.4041,1991,7,ALB
20.636,1991,8,ALB
18.0898,1991,9,ALB
12.8007,1991,10,ALB
8.32151,1991,11,ALB
1.45875,1991,12,ALB
1.40526,1992,1,ALB
2.22605,1992,2,ALB
5.62706,1992,3,ALB
9.06494,1992,4,ALB
14.7354,1992,5,ALB
17.5053,1992,6,ALB
20.3239,1992,7,ALB
23.2438,1992,8,ALB
17.7012,1992,9,ALB
14.322,1992,10,ALB
8.39536,1992,11,ALB
2.60692,1992,12,ALB
1.57288,1993,1,ALB
1.16634,1993,2,ALB
5.3208,1993,3,ALB
10.1053,1993,4,ALB
15.6881,1993,5,ALB
19.3949,1993,6,ALB
20.5973,1993,7,ALB
22.0339,1993,8,ALB
16.8297,1993,9,ALB
13.7946,1993,10,ALB
6.94132,1993,11,ALB
4.97507,1993,12,ALB
4.05306,1994,1,ALB
3.64293,1994,2,ALB
7.98339,1994,3,ALB
10.3594,1994,4,ALB
15.7166,1994,5,ALB
18.7941,1994,6,ALB
22.5394,1994,7,ALB
23.2285,1994,8,ALB
20.2576,1994,9,ALB
13.3726,1994,10,ALB
5.88679,1994,11,ALB
3.09745,1994,12,ALB
2.15399,1995,1,ALB
5.51083,1995,2,ALB
5.42254,1995,3,ALB
9.1485,1995,4,ALB
14.2238,1995,5,ALB
17.7509,1995,6,ALB
22.5173,1995,7,ALB
19.8581,1995,8,ALB
15.7309,1995,9,ALB
12.0414,1995,10,ALB
5.08554,1995,11,ALB
5.42966,1995,12,ALB
2.85981,1996,1,ALB
2.50438,1996,2,ALB
3.769,1996,3,ALB
9.43995,1996,4,ALB
15.6352,1996,5,ALB
20.1667,1996,6,ALB
21.0888,1996,7,ALB
21.1635,1996,8,ALB
14.1281,1996,9,ALB
11.3322,1996,10,ALB
8.64051,1996,11,ALB
4.18441,1996,12,ALB
3.76679,1997,1,ALB
3.91491,1997,2,ALB
6.55106,1997,3,ALB
6.70159,1997,4,ALB
15.9364,1997,5,ALB
19.7322,1997,6,ALB
21.1433,1997,7,ALB
19.9083,1997,8,ALB
17.7957,1997,9,ALB
11.0278,1997,10,ALB
8.51491,1997,11,ALB
4.12512,1997,12,ALB
3.77361,1998,1,ALB
5.45516,1998,2,ALB
4.65444,1998,3,ALB
10.9467,1998,4,ALB
14.7258,1998,5,ALB
20.1891,1998,6,ALB
22.4971,1998,7,ALB
22.9155,1998,8,ALB
16.6732,1998,9,ALB
13.0001,1998,10,ALB
6.75473,1998,11,ALB
2.06467,1998,12,ALB
2.66285,1999,1,ALB
2.02598,1999,2,ALB
6.85639,1999,3,ALB
10.7942,1999,4,ALB
16.197,1999,5,ALB
19.9937,1999,6,ALB
22.0641,1999,7,ALB
22.5292,1999,8,ALB
18.7316,1999,9,ALB
13.7902,1999,10,ALB
8.09227,1999,11,ALB
5.19243,1999,12,ALB
-0.4274,2000,1,ALB
3.3825,2000,2,ALB
5.79108,2000,3,ALB
12.2607,2000,4,ALB
17.1752,2000,5,ALB
20.7429,2000,6,ALB
21.6661,2000,7,ALB
22.7077,2000,8,ALB
17.2813,2000,9,ALB
12.972,2000,10,ALB
10.1679,2000,11,ALB
5.04755,2000,12,ALB
4.76321,2001,1,ALB
4.73769,2001,2,ALB
10.1394,2001,3,ALB
10.0432,2001,4,ALB
16.2217,2001,5,ALB
18.0723,2001,6,ALB
22.0658,2001,7,ALB
23.1412,2001,8,ALB
16.9068,2001,9,ALB
14.22,2001,10,ALB
7.11784,2001,11,ALB
0.78145,2001,12,ALB
1.24765,2002,1,ALB
6.42867,2002,2,ALB
8.3524,2002,3,ALB
10.5282,2002,4,ALB
16.2826,2002,5,ALB
20.5739,2002,6,ALB
22.3552,2002,7,ALB
21.1218,2002,8,ALB
16.3618,2002,9,ALB
12.492,2002,10,ALB
9.64102,2002,11,ALB
4.00644,2002,12,ALB
3.54542,2003,1,ALB
-0.1592,2003,2,ALB
5.62406,2003,3,ALB
9.82737,2003,4,ALB
17.9665,2003,5,ALB
20.7396,2003,6,ALB
22.6151,2003,7,ALB
23.7499,2003,8,ALB
17.2003,2003,9,ALB
12.4474,2003,10,ALB
9.43871,2003,11,ALB
3.66119,2003,12,ALB
1.27936,2004,1,ALB
3.58883,2004,2,ALB
6.52673,2004,3,ALB
11.0437,2004,4,ALB
13.7044,2004,5,ALB
18.5941,2004,6,ALB
21.8735,2004,7,ALB
20.8002,2004,8,ALB
17.3825,2004,9,ALB
14.3388,2004,10,ALB
8.12261,2004,11,ALB
5.07061,2004,12,ALB
2.23713,2005,1,ALB
0.69162,2005,2,ALB
5.66768,2005,3,ALB
10.1471,2005,4,ALB
15.6138,2005,5,ALB
18.746,2005,6,ALB
21.7975,2005,7,ALB
20.4021,2005,8,ALB
17.917,2005,9,ALB
12.072,2005,10,ALB
7.21939,2005,11,ALB
3.57779,2005,12,ALB
0.17408,2006,1,ALB
2.30696,2006,2,ALB
5.73406,2006,3,ALB
11.0551,2006,4,ALB
15.3515,2006,5,ALB
18.6637,2006,6,ALB
22.4065,2006,7,ALB
20.8074,2006,8,ALB
17.8761,2006,9,ALB
13.6053,2006,10,ALB
6.4413,2006,11,ALB
3.61164,2006,12,ALB
4.29415,2007,1,ALB
5.16693,2007,2,ALB
7.60964,2007,3,ALB
11.6481,2007,4,ALB
16.1909,2007,5,ALB
20.8092,2007,6,ALB
23.6673,2007,7,ALB
22.3341,2007,8,ALB
16.2426,2007,9,ALB
12.008,2007,10,ALB
6.51915,2007,11,ALB
1.792,2007,12,ALB
2.84431,2008,1,ALB
4.00308,2008,2,ALB
7.53282,2008,3,ALB
10.9511,2008,4,ALB
15.7218,2008,5,ALB
20.3813,2008,6,ALB
22.061,2008,7,ALB
23.0361,2008,8,ALB
16.7465,2008,9,ALB
13.0907,2008,10,ALB
8.8741,2008,11,ALB
4.80582,2008,12,ALB
2.8981,2009,1,ALB
2.56435,2009,2,ALB
5.70853,2009,3,ALB
11.6885,2009,4,ALB
16.8944,2009,5,ALB
18.9225,2009,6,ALB
22.1675,2009,7,ALB
22.6453,2009,8,ALB
18.9664,2009,9,ALB
12.5084,2009,10,ALB
8.38029,2009,11,ALB
5.4979,2009,12,ALB
2.70716,2010,1,ALB
4.06939,2010,2,ALB
6.66809,2010,3,ALB
11.6985,2010,4,ALB
15.2996,2010,5,ALB
18.8271,2010,6,ALB
22.5451,2010,7,ALB
22.9497,2010,8,ALB
17.3563,2010,9,ALB
11.7069,2010,10,ALB
11.2503,2010,11,ALB
4.52732,2010,12,ALB
2.38682,2011,1,ALB
3.45493,2011,2,ALB
6.90806,2011,3,ALB
11.5217,2011,4,ALB
15.3174,2011,5,ALB
19.8409,2011,6,ALB
22.3142,2011,7,ALB
22.6534,2011,8,ALB
20.6701,2011,9,ALB
11.2834,2011,10,ALB
5.78137,2011,11,ALB
4.30452,2011,12,ALB
0.62279,2012,1,ALB
1.03448,2012,2,ALB
8.01437,2012,3,ALB
11.6856,2012,4,ALB
15.5974,2012,5,ALB
20.1718,2012,6,ALB
24.0068,2012,7,ALB
24.1593,2012,8,ALB
19.5245,2012,9,ALB
14.7346,2012,10,ALB
10.1808,2012,11,ALB
3.06512,2012,12,ALB
3.6553,2013,1,ALB
4.122,2013,2,ALB
6.88152,2013,3,ALB
12.4807,2013,4,ALB
16.8336,2013,5,ALB
19.5006,2013,6,ALB
22.8232,2013,7,ALB
24.1214,2013,8,ALB
18.1875,2013,9,ALB
13.9026,2013,10,ALB
9.65171,2013,11,ALB
3.61131,2013,12,ALB
5.07503,2014,1,ALB
6.05396,2014,2,ALB
8.23774,2014,3,ALB
10.9313,2014,4,ALB
14.4278,2014,5,ALB
19.3093,2014,6,ALB
21.2236,2014,7,ALB
21.93,2014,8,ALB
17.2523,2014,9,ALB
12.9569,2014,10,ALB
9.66033,2014,11,ALB
4.85585,2014,12,ALB
3.52784,2015,1,ALB
3.65961,2015,2,ALB
6.65197,2015,3,ALB
10.6735,2015,4,ALB
16.4194,2015,5,ALB
19.3502,2015,6,ALB
24.3203,2015,7,ALB
23.5398,2015,8,ALB
19.3777,2015,9,ALB
13.4268,2015,10,ALB
9.29208,2015,11,ALB
3.88991,2015,12,ALB
12.0806,1901,1,DZA
14.2311,1901,2,DZA
17.811,1901,3,DZA
22.698,1901,4,DZA
25.9776,1901,5,DZA
31.522,1901,6,DZA
32.5365,1901,7,DZA
32.0112,1901,8,DZA
28.7043,1901,9,DZA
22.6932,1901,10,DZA
17.3461,1901,11,DZA
12.3849,1901,12,DZA
11.7443,1902,1,DZA
15.4114,1902,2,DZA
18.2194,1902,3,DZA
22.9865,1902,4,DZA
25.7765,1902,5,DZA
29.9162,1902,6,DZA
32.7093,1902,7,DZA
32.325,1902,8,DZA
28.5736,1902,9,DZA
22.0605,1902,10,DZA
17.4911,1902,11,DZA
13.0525,1902,12,DZA
12.6347,1903,1,DZA
14.6389,1903,2,DZA
18.0423,1903,3,DZA
21.6262,1903,4,DZA
26.0053,1903,5,DZA
29.8541,1903,6,DZA
31.8175,1903,7,DZA
31.4764,1903,8,DZA
28.3497,1903,9,DZA
23.652,1903,10,DZA
17.3305,1903,11,DZA
12.9026,1903,12,DZA
11.8707,1904,1,DZA
14.9311,1904,2,DZA
17.7085,1904,3,DZA
21.8926,1904,4,DZA
26.2521,1904,5,DZA
30.5782,1904,6,DZA
32.5137,1904,7,DZA
32.0366,1904,8,DZA
28.295,1904,9,DZA
23.2525,1904,10,DZA
17.2361,1904,11,DZA
13.3293,1904,12,DZA
12.0915,1905,1,DZA
13.2589,1905,2,DZA
18.5993,1905,3,DZA
23.2131,1905,4,DZA
25.908,1905,5,DZA
30.604,1905,6,DZA
32.0741,1905,7,DZA
31.6091,1905,8,DZA
28.3582,1905,9,DZA
23.1499,1905,10,DZA
17.6201,1905,11,DZA
12.9179,1905,12,DZA
12.6332,1906,1,DZA
13.4001,1906,2,DZA
18.0278,1906,3,DZA
21.8363,1906,4,DZA
26.0726,1906,5,DZA
30.5345,1906,6,DZA
31.7546,1906,7,DZA
31.3313,1906,8,DZA
28.566,1906,9,DZA
23.1791,1906,10,DZA
17.2745,1906,11,DZA
12.4021,1906,12,DZA
11.6068,1907,1,DZA
13.1545,1907,2,DZA
16.9478,1907,3,DZA
21.5483,1907,4,DZA
25.987,1907,5,DZA
30.7066,1907,6,DZA
31.6533,1907,7,DZA
31.1983,1907,8,DZA
28.3063,1907,9,DZA
23.2087,1907,10,DZA
18.1908,1907,11,DZA
13.8586,1907,12,DZA
12.6135,1908,1,DZA
13.8556,1908,2,DZA
16.7213,1908,3,DZA
21.0182,1908,4,DZA
26.3832,1908,5,DZA
29.9133,1908,6,DZA
31.9228,1908,7,DZA
31.27,1908,8,DZA
28.9011,1908,9,DZA
23.1463,1908,10,DZA
17.911,1908,11,DZA
13.4344,1908,12,DZA
11.6068,1909,1,DZA
14.1561,1909,2,DZA
18.6931,1909,3,DZA
22.0138,1909,4,DZA
26.0691,1909,5,DZA
29.7387,1909,6,DZA
31.0322,1909,7,DZA
30.906,1909,8,DZA
28.2534,1909,9,DZA
23.174,1909,10,DZA
18.0591,1909,11,DZA
14.283,1909,12,DZA
11.8401,1910,1,DZA
14.6798,1910,2,DZA
17.4356,1910,3,DZA
21.3277,1910,4,DZA
25.4911,1910,5,DZA
30.4257,1910,6,DZA
32.2446,1910,7,DZA
31.3743,1910,8,DZA
27.9771,1910,9,DZA
23.9554,1910,10,DZA
17.7355,1910,11,DZA
13.4958,1910,12,DZA
11.5292,1911,1,DZA
14.3075,1911,2,DZA
17.2465,1911,3,DZA
21.6346,1911,4,DZA
25.6266,1911,5,DZA
30.2607,1911,6,DZA
31.9857,1911,7,DZA
31.9562,1911,8,DZA
29.1595,1911,9,DZA
23.3743,1911,10,DZA
17.0568,1911,11,DZA
13.5109,1911,12,DZA
12.5003,1912,1,DZA
16.4091,1912,2,DZA
18.8385,1912,3,DZA
21.4491,1912,4,DZA
26.6697,1912,5,DZA
30.3584,1912,6,DZA
31.4131,1912,7,DZA
30.9246,1912,8,DZA
27.5787,1912,9,DZA
22.591,1912,10,DZA
16.0661,1912,11,DZA
12.7551,1912,12,DZA
13.3456,1913,1,DZA
14.5459,1913,2,DZA
17.2524,1913,3,DZA
21.6379,1913,4,DZA
26.293,1913,5,DZA
30.566,1913,6,DZA
32.2402,1913,7,DZA
31.5888,1913,8,DZA
28.2787,1913,9,DZA
23.4054,1913,10,DZA
17.6331,1913,11,DZA
12.9838,1913,12,DZA
12.3669,1914,1,DZA
15.0661,1914,2,DZA
18.3071,1914,3,DZA
22.6921,1914,4,DZA
26.7416,1914,5,DZA
30.4082,1914,6,DZA
31.8902,1914,7,DZA
30.8993,1914,8,DZA
28.1958,1914,9,DZA
22.8284,1914,10,DZA
17.4496,1914,11,DZA
12.426,1914,12,DZA
10.802,1915,1,DZA
13.4404,1915,2,DZA
18.3039,1915,3,DZA
20.1218,1915,4,DZA
26.0486,1915,5,DZA
29.7949,1915,6,DZA
32.7465,1915,7,DZA
31.8857,1915,8,DZA
27.7283,1915,9,DZA
21.8328,1915,10,DZA
17.1822,1915,11,DZA
12.9865,1915,12,DZA
10.9223,1916,1,DZA
13.3112,1916,2,DZA
17.3459,1916,3,DZA
20.8087,1916,4,DZA
25.5912,1916,5,DZA
29.6402,1916,6,DZA
32.0341,1916,7,DZA
31.1749,1916,8,DZA
27.0229,1916,9,DZA
22.4786,1916,10,DZA
16.2781,1916,11,DZA
13.0516,1916,12,DZA
11.5283,1917,1,DZA
14.4103,1917,2,DZA
16.1169,1917,3,DZA
20.2847,1917,4,DZA
25.5482,1917,5,DZA
29.7392,1917,6,DZA
32.2214,1917,7,DZA
31.9991,1917,8,DZA
28.6139,1917,9,DZA
22.0341,1917,10,DZA
15.0831,1917,11,DZA
10.9755,1917,12,DZA
11.9898,1918,1,DZA
12.66,1918,2,DZA
15.6865,1918,3,DZA
20.4799,1918,4,DZA
25.3272,1918,5,DZA
30.2967,1918,6,DZA
32.1991,1918,7,DZA
30.8128,1918,8,DZA
28.6032,1918,9,DZA
21.3627,1918,10,DZA
16.4178,1918,11,DZA
12.7823,1918,12,DZA
11.5883,1919,1,DZA
14.9997,1919,2,DZA
18.0978,1919,3,DZA
21.5184,1919,4,DZA
25.9138,1919,5,DZA
30.0644,1919,6,DZA
31.7577,1919,7,DZA
31.7381,1919,8,DZA
28.5467,1919,9,DZA
22.7189,1919,10,DZA
17.5628,1919,11,DZA
12.5101,1919,12,DZA
12.1617,1920,1,DZA
14.7282,1920,2,DZA
17.7795,1920,3,DZA
22.2042,1920,4,DZA
26.3869,1920,5,DZA
30.5397,1920,6,DZA
32.4794,1920,7,DZA
31.6237,1920,8,DZA
28.5234,1920,9,DZA
23.1021,1920,10,DZA
17.0163,1920,11,DZA
12.9936,1920,12,DZA
12.125,1921,1,DZA
14.6202,1921,2,DZA
17.4184,1921,3,DZA
21.0411,1921,4,DZA
25.7751,1921,5,DZA
29.9217,1921,6,DZA
32.284,1921,7,DZA
31.4152,1921,8,DZA
28.9527,1921,9,DZA
23.656,1921,10,DZA
17.0391,1921,11,DZA
12.3172,1921,12,DZA
12.0014,1922,1,DZA
14.6742,1922,2,DZA
17.9856,1922,3,DZA
22.2901,1922,4,DZA
26.6866,1922,5,DZA
30.4293,1922,6,DZA
32.117,1922,7,DZA
31.4289,1922,8,DZA
26.8524,1922,9,DZA
23.0975,1922,10,DZA
16.3719,1922,11,DZA
11.8283,1922,12,DZA
9.75989,1923,1,DZA
14.0886,1923,2,DZA
17.8231,1923,3,DZA
20.17,1923,4,DZA
25.7192,1923,5,DZA
28.3456,1923,6,DZA
32.3075,1923,7,DZA
31.5851,1923,8,DZA
26.8948,1923,9,DZA
24.4019,1923,10,DZA
17.6614,1923,11,DZA
11.5537,1923,12,DZA
12.0827,1924,1,DZA
14.1643,1924,2,DZA
18.4635,1924,3,DZA
22.4674,1924,4,DZA
28.4746,1924,5,DZA
30.8995,1924,6,DZA
32.1184,1924,7,DZA
30.97,1924,8,DZA
28.9574,1924,9,DZA
22.8423,1924,10,DZA
17.0938,1924,11,DZA
12.0441,1924,12,DZA
10.0358,1925,1,DZA
13.421,1925,2,DZA
16.0528,1925,3,DZA
21.6526,1925,4,DZA
25.0214,1925,5,DZA
29.052,1925,6,DZA
31.2989,1925,7,DZA
32.1628,1925,8,DZA
27.9576,1925,9,DZA
21.3816,1925,10,DZA
16.1243,1925,11,DZA
13.7939,1925,12,DZA
12.8163,1926,1,DZA
15.6255,1926,2,DZA
17.8021,1926,3,DZA
21.5063,1926,4,DZA
26.0702,1926,5,DZA
30.5992,1926,6,DZA
33.3097,1926,7,DZA
31.4961,1926,8,DZA
29.193,1926,9,DZA
24.4784,1926,10,DZA
16.5088,1926,11,DZA
12.1106,1926,12,DZA
11.6709,1927,1,DZA
13.6941,1927,2,DZA
18.0839,1927,3,DZA
21.9189,1927,4,DZA
27.1138,1927,5,DZA
31.1272,1927,6,DZA
31.7391,1927,7,DZA
31.9317,1927,8,DZA
28.6819,1927,9,DZA
23.4328,1927,10,DZA
17.1762,1927,11,DZA
13.3042,1927,12,DZA
11.4057,1928,1,DZA
14.3199,1928,2,DZA
18.4796,1928,3,DZA
22.0554,1928,4,DZA
25.7785,1928,5,DZA
31.4012,1928,6,DZA
33.7659,1928,7,DZA
31.9919,1928,8,DZA
29.4458,1928,9,DZA
23.4783,1928,10,DZA
16.9959,1928,11,DZA
12.1529,1928,12,DZA
10.8738,1929,1,DZA
14.1999,1929,2,DZA
17.464,1929,3,DZA
22.0771,1929,4,DZA
26.1716,1929,5,DZA
30.7976,1929,6,DZA
31.7521,1929,7,DZA
30.8223,1929,8,DZA
29.1249,1929,9,DZA
23.0626,1929,10,DZA
17.2428,1929,11,DZA
12.548,1929,12,DZA
12.7843,1930,1,DZA
14.818,1930,2,DZA
18.5261,1930,3,DZA
22.2208,1930,4,DZA
26.5105,1930,5,DZA
30.3791,1930,6,DZA
31.7625,1930,7,DZA
31.6708,1930,8,DZA
28.8376,1930,9,DZA
24.0546,1930,10,DZA
19.1677,1930,11,DZA
14.3956,1930,12,DZA
12.8117,1931,1,DZA
13.7042,1931,2,DZA
19.376,1931,3,DZA
22.858,1931,4,DZA
26.9711,1931,5,DZA
31.9218,1931,6,DZA
33.2312,1931,7,DZA
32.2611,1931,8,DZA
27.7958,1931,9,DZA
23.6366,1931,10,DZA
18.3084,1931,11,DZA
12.5426,1931,12,DZA
11.3852,1932,1,DZA
13.4316,1932,2,DZA
18.3458,1932,3,DZA
21.5007,1932,4,DZA
26.1252,1932,5,DZA
29.9639,1932,6,DZA
30.9931,1932,7,DZA
31.0897,1932,8,DZA
28.5304,1932,9,DZA
21.7756,1932,10,DZA
17.0856,1932,11,DZA
13.0518,1932,12,DZA
11.6199,1933,1,DZA
14.8871,1933,2,DZA
17.2837,1933,3,DZA
22.9124,1933,4,DZA
26.55,1933,5,DZA
29.9501,1933,6,DZA
32.2422,1933,7,DZA
32.1123,1933,8,DZA
28.931,1933,9,DZA
23.531,1933,10,DZA
16.6535,1933,11,DZA
12.0139,1933,12,DZA
9.96401,1934,1,DZA
12.5518,1934,2,DZA
16.0111,1934,3,DZA
21.4743,1934,4,DZA
26.092,1934,5,DZA
30.6085,1934,6,DZA
32.2239,1934,7,DZA
30.659,1934,8,DZA
28.7219,1934,9,DZA
23.1088,1934,10,DZA
17.0709,1934,11,DZA
13.4963,1934,12,DZA
10.7592,1935,1,DZA
13.5392,1935,2,DZA
17.623,1935,3,DZA
22.2459,1935,4,DZA
25.8129,1935,5,DZA
31.4275,1935,6,DZA
33.2251,1935,7,DZA
31.8013,1935,8,DZA
29.413,1935,9,DZA
22.7726,1935,10,DZA
18.5468,1935,11,DZA
13.7785,1935,12,DZA
13.2786,1936,1,DZA
16.5963,1936,2,DZA
19.0313,1936,3,DZA
23.0389,1936,4,DZA
26.1761,1936,5,DZA
30.3178,1936,6,DZA
31.5562,1936,7,DZA
30.6442,1936,8,DZA
28.8466,1936,9,DZA
21.8084,1936,10,DZA
17.1555,1936,11,DZA
12.4891,1936,12,DZA
12.6647,1937,1,DZA
15.9428,1937,2,DZA
18.5602,1937,3,DZA
23.1661,1937,4,DZA
26.4756,1937,5,DZA
31.3074,1937,6,DZA
32.8577,1937,7,DZA
32.346,1937,8,DZA
28.4442,1937,9,DZA
23.6231,1937,10,DZA
19.2049,1937,11,DZA
12.752,1937,12,DZA
12.3702,1938,1,DZA
14.0668,1938,2,DZA
17.0086,1938,3,DZA
21.6003,1938,4,DZA
26.316,1938,5,DZA
32.9923,1938,6,DZA
33.1584,1938,7,DZA
32.0108,1938,8,DZA
28.6492,1938,9,DZA
24.5295,1938,10,DZA
19.0717,1938,11,DZA
12.7736,1938,12,DZA
13.5135,1939,1,DZA
14.7179,1939,2,DZA
17.3403,1939,3,DZA
21.2021,1939,4,DZA
24.5407,1939,5,DZA
30.0703,1939,6,DZA
32.303,1939,7,DZA
31.3276,1939,8,DZA
28.3416,1939,9,DZA
24.1309,1939,10,DZA
17.9962,1939,11,DZA
13.9762,1939,12,DZA
12.411,1940,1,DZA
15.7025,1940,2,DZA
18.872,1940,3,DZA
22.3879,1940,4,DZA
26.5865,1940,5,DZA
29.976,1940,6,DZA
32.368,1940,7,DZA
32.1357,1940,8,DZA
28.9448,1940,9,DZA
23.2383,1940,10,DZA
17.2399,1940,11,DZA
12.1627,1940,12,DZA
13.3312,1941,1,DZA
16.1046,1941,2,DZA
19.3636,1941,3,DZA
22.6897,1941,4,DZA
26.0684,1941,5,DZA
30.4223,1941,6,DZA
32.3645,1941,7,DZA
32.422,1941,8,DZA
28.6489,1941,9,DZA
23.5315,1941,10,DZA
18.0892,1941,11,DZA
13.2323,1941,12,DZA
11.1395,1942,1,DZA
13.5891,1942,2,DZA
20.033,1942,3,DZA
23.3283,1942,4,DZA
28.0099,1942,5,DZA
31.7202,1942,6,DZA
33.4576,1942,7,DZA
31.9584,1942,8,DZA
29.5784,1942,9,DZA
24.7202,1942,10,DZA
18.4518,1942,11,DZA
13.9834,1942,12,DZA
13.0082,1943,1,DZA
14.2144,1943,2,DZA
17.9342,1943,3,DZA
22.5316,1943,4,DZA
26.6639,1943,5,DZA
31.4173,1943,6,DZA
32.8002,1943,7,DZA
30.7815,1943,8,DZA
29.0971,1943,9,DZA
23.312,1943,10,DZA
17.5266,1943,11,DZA
13.7389,1943,12,DZA
11.4032,1944,1,DZA
13.1177,1944,2,DZA
16.9138,1944,3,DZA
22.3212,1944,4,DZA
27.3607,1944,5,DZA
31.368,1944,6,DZA
33.0533,1944,7,DZA
32.1218,1944,8,DZA
28.8988,1944,9,DZA
23.6314,1944,10,DZA
18.2039,1944,11,DZA
13.1845,1944,12,DZA
10.8866,1945,1,DZA
14.2994,1945,2,DZA
16.7435,1945,3,DZA
23.188,1945,4,DZA
27.2048,1945,5,DZA
31.919,1945,6,DZA
33.5383,1945,7,DZA
32.0501,1945,8,DZA
29.4697,1945,9,DZA
23.4358,1945,10,DZA
18.8668,1945,11,DZA
13.6134,1945,12,DZA
12.7719,1946,1,DZA
14.8647,1946,2,DZA
18.471,1946,3,DZA
22.379,1946,4,DZA
26.0095,1946,5,DZA
31.1144,1946,6,DZA
33.454,1946,7,DZA
32.4462,1946,8,DZA
29.7642,1946,9,DZA
24.2468,1946,10,DZA
17.4105,1946,11,DZA
12.0257,1946,12,DZA
11.5197,1947,1,DZA
16.5739,1947,2,DZA
19.2086,1947,3,DZA
21.2868,1947,4,DZA
25.4806,1947,5,DZA
31.3725,1947,6,DZA
33.5584,1947,7,DZA
32.4505,1947,8,DZA
29.4896,1947,9,DZA
22.6281,1947,10,DZA
17.7621,1947,11,DZA
13.0835,1947,12,DZA
11.0181,1948,1,DZA
15.754,1948,2,DZA
17.5161,1948,3,DZA
22.2603,1948,4,DZA
27.163,1948,5,DZA
31.044,1948,6,DZA
32.0756,1948,7,DZA
32.253,1948,8,DZA
28.6924,1948,9,DZA
23.5222,1948,10,DZA
17.1078,1948,11,DZA
13.1263,1948,12,DZA
12.1182,1949,1,DZA
13.721,1949,2,DZA
17.7608,1949,3,DZA
22.8568,1949,4,DZA
26.2205,1949,5,DZA
31.2061,1949,6,DZA
32.9293,1949,7,DZA
32.531,1949,8,DZA
28.8671,1949,9,DZA
24.4673,1949,10,DZA
18.1865,1949,11,DZA
14.7162,1949,12,DZA
11.1394,1950,1,DZA
14.6464,1950,2,DZA
17.2587,1950,3,DZA
21.1922,1950,4,DZA
25.8927,1950,5,DZA
31.3424,1950,6,DZA
32.6444,1950,7,DZA
31.4768,1950,8,DZA
28.8184,1950,9,DZA
23.2959,1950,10,DZA
18.1888,1950,11,DZA
12.7534,1950,12,DZA
11.4996,1951,1,DZA
15.303,1951,2,DZA
19.3463,1951,3,DZA
22.7777,1951,4,DZA
26.0887,1951,5,DZA
31.1872,1951,6,DZA
32.9124,1951,7,DZA
32.618,1951,8,DZA
28.6239,1951,9,DZA
22.144,1951,10,DZA
18.0772,1951,11,DZA
12.916,1951,12,DZA
10.6677,1952,1,DZA
13.5027,1952,2,DZA
19.6732,1952,3,DZA
21.6173,1952,4,DZA
26.3313,1952,5,DZA
32.0601,1952,6,DZA
32.8747,1952,7,DZA
31.7959,1952,8,DZA
28.7961,1952,9,DZA
24.4042,1952,10,DZA
17.9961,1952,11,DZA
13.1225,1952,12,DZA
11.1128,1953,1,DZA
